Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
0,7,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40211,1444378,2021/12/08 14:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,20580,544
0,11,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1444378,2021/12/08 14:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,20580,545
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1444378,2021/12/08 14:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,20580,546
1,30,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,"Unemployed(Long - Term, more than 6 months)",Single Person,40215,1204876,2021/07/20 14:50:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,549.63,15,0,547
1,38,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40216,1326662,2021/10/07 09:56:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,1,31308,548
0,13,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1326662,2021/10/07 09:56:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,1,31308,549
0,14,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1326662,2021/10/07 09:56:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,1,31308,550
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40299,1458991,2021/12/16 16:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,679.4,26,0,551
1,55,African American,Female,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40210,1229499,2021/08/02 08:57:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,240.79,6,22416,552
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40299,1458991,2021/12/16 16:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,679.4,26,0,553
1,45,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40202,1456561,2021/12/15 11:16:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,254.03,4,13682.4,554
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40202,1357032,2021/10/26 09:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,217.95,5,0,555
1,24,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40202,1234623,2021/08/03 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,510.63,4,0,556
0,5,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40202,1234623,2021/08/03 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,510.63,4,0,557
1,31,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40211,1468771,2022/01/04 09:46:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,452.98,1,0,558
1,43,Others,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40212,1265989,2021/08/20 08:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,642.04,5,0,559
1,50,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Employed Part-Time,Single Parent Female,40203,1283480,2021/09/01 12:43:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,265.69,5,8664,560
0,9,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40211,1468771,2022/01/04 09:46:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,452.98,1,0,561
0,12,Mixed Race,Female,Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40211,1468771,2022/01/04 09:46:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,452.98,1,0,562
0,8,Others,Female,Non-Hispanic,Not Disabled,Early Head Start,Unemployed(Not in Labor Force),Single Parent Female,40212,1265989,2021/08/20 08:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,642.04,5,0,563
1,50,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Parent Female,40212,1455213,2021/12/14 11:50:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,643.67,5,0,564
1,41,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40212,1323710,2021/10/05 12:58:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,167.27,5,0,565
0,14,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1455213,2021/12/14 11:50:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,643.67,5,0,566
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1323710,2021/10/05 12:58:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,167.27,5,0,567
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1455213,2021/12/14 11:50:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,643.67,5,0,568
1,38,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40211,1322047,2021/10/04 14:10:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,280.47,1,8976.6,569
1,23,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1353257,2021/10/22 13:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,2952,570
0,8,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1322047,2021/10/04 14:10:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,280.47,1,8976.6,571
0,7,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1322047,2021/10/04 14:10:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,280.47,1,8976.6,572
0,8,African American,Male,Non-Hispanic,Not Disabled,Early Head Start,Unemployed(Not in Labor Force),Single Parent Female,40212,1353257,2021/10/22 13:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,2952,573
0,10,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1322047,2021/10/04 14:10:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,280.47,1,8976.6,574
1,42,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40219,1206818,2021/07/21 12:06:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,282.23,13,28800,575
0,17,Mixed Race,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40219,1206818,2021/07/21 12:06:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,282.23,13,28800,576
0,13,Mixed Race,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40219,1206818,2021/07/21 12:06:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,282.23,13,28800,577
1,50,White,Female,Non-Hispanic,Disabled,Grades 9-12,Employed Part-Time,Other,40208,1311477,2021/09/24 10:27:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,3,9342,578
1,58,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40216,1454800,2021/12/14 09:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,619.61,3,0,579
1,47,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40213,1237340,2021/08/04 14:12:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,544.67,21,0,580
0,21,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40213,1237340,2021/08/04 14:12:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,544.67,21,0,581
1,59,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Two Adults No Children,40214,1252173,2021/08/12 11:42:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,429.89,25,0,582
1,37,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40212,1458578,2021/12/16 13:51:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,4,5400,583
0,12,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1458578,2021/12/16 13:51:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,4,5400,584
0,9,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1458578,2021/12/16 13:51:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,4,5400,585
1,55,African American,Female,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40206,1291716,2021/09/08 16:25:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,473.09,26,9600,586
1,30,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1466440,2021/12/28 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,15,2400,587
0,8,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40215,1466440,2021/12/28 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,15,2400,588
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1466440,2021/12/28 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,15,2400,589
0,11,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1466440,2021/12/28 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,15,2400,590
1,36,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40216,1415785,2021/11/22 14:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,961.14,3,0,591
0,6,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40215,1466440,2021/12/28 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,15,2400,592
0,17,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1415785,2021/11/22 14:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,961.14,3,0,593
0,12,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40216,1415785,2021/11/22 14:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,961.14,3,0,594
1,59,African American,Female,Non-Hispanic,Not Disabled,Technical/Trade School,Employed Part-Time,Single Parent Female,40213,1276660,2021/08/26 16:17:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,388.18,2,37369.08,595
0,12,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40213,1276660,2021/08/26 16:17:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,388.18,2,37369.08,596
0,19,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40213,1276660,2021/08/26 16:17:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,388.18,2,37369.08,597
1,42,African American,Female,Non-Hispanic,Not Disabled,Equivalency Diploma (GED),"Unemployed(Long - Term, more than 6 months)",Single Person,40212,1466825,2021/12/29 11:23:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,488.34,5,0,598
1,38,White,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40215,1431698,2021/12/02 11:14:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,747.02,3,0,599
1,39,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1314195,2021/09/27 15:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,583.4,1,0,600
0,18,Mixed Race,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1431698,2021/12/02 11:14:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,747.02,3,0,601
0,16,Mixed Race,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1431698,2021/12/02 11:14:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,747.02,3,0,602
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40219,1280638,2021/08/30 17:08:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,24,14268,603
0,23,Mixed Race,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40219,1206818,2021/07/21 12:06:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,282.23,13,28800,604
1,27,African American,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40203,1237924,2021/08/04 15:39:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,324.69,5,3120,605
1,44,White,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Person,40213,1211821,2021/07/23 10:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,21,4224,606
0,7,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1237924,2021/08/04 15:39:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,324.69,5,3120,607
1,31,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40216,1408292,2021/11/18 10:47:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,727.46,12,0,608
0,4,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40203,1237924,2021/08/04 15:39:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,324.69,5,3120,609
1,28,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40216,1438864,2021/12/07 08:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,373.5,3,26034,610
1,26,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Part-Time,Single Parent Female,40202,1253578,2021/08/12 16:16:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,675.64,4,8880,611
0,8,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1438864,2021/12/07 08:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,373.5,3,26034,612
0,9,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40202,1253578,2021/08/12 16:16:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,675.64,4,8880,613
1,69,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Retired,Single Person,40212,1283493,2021/09/01 12:48:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,268.38,5,9060,614
1,29,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40210,1255232,2021/08/13 14:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,769.97,6,0,615
1,31,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40203,1364877,2021/10/29 11:21:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,627.65,4,0,616
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1364877,2021/10/29 11:21:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,627.65,4,0,617
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1364877,2021/10/29 11:21:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,627.65,4,0,618
0,9,African American,Male,Non-Hispanic,Not Disabled,Early Head Start,Unemployed(Not in Labor Force),Single Parent Female,40203,1364877,2021/10/29 11:21:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,627.65,4,0,619
1,32,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40059,1385771,2021/11/08 14:16:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,117.32,16,0,620
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40059,1385771,2021/11/08 14:16:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,117.32,16,0,621
0,6,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40059,1385771,2021/11/08 14:16:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,117.32,16,0,622
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40059,1385771,2021/11/08 14:16:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,117.32,16,0,623
0,12,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40059,1385771,2021/11/08 14:16:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,117.32,16,0,624
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40059,1385771,2021/11/08 14:16:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,117.32,16,0,625
1,36,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Part-Time,Single Person,40216,1460461,2021/12/20 09:00:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,634.28,12,0,626
1,34,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40212,1320543,2021/10/01 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,627
0,13,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1320543,2021/10/01 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,628
0,11,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1320543,2021/10/01 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,629
0,14,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1320543,2021/10/01 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,630
0,7,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1320543,2021/10/01 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,631
0,17,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1320543,2021/10/01 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,632
0,12,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1320543,2021/10/01 14:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,633
0,15,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40218,1465860,2021/12/28 11:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,711.59,5,0,634
0,8,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40218,1465860,2021/12/28 11:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,711.59,5,0,635
0,8,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40218,1465860,2021/12/28 11:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,711.59,5,0,636
1,40,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40216,1382000,2021/11/05 13:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,430.09,3,28800,637
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1382000,2021/11/05 13:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,430.09,3,28800,638
0,18,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40218,1465860,2021/12/28 11:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,711.59,5,0,639
1,60,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Long - Term, more than 6 months)",Single Person,40210,1358637,2021/10/26 14:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,576.55,6,15192,640
1,38,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40223,1462303,2021/12/21 10:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,588.88,19,22965.36,641
0,16,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40223,1462303,2021/12/21 10:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,588.88,19,22965.36,642
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40223,1462303,2021/12/21 10:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,588.88,19,22965.36,643
0,7,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40223,1462303,2021/12/21 10:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,588.88,19,22965.36,644
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40223,1462303,2021/12/21 10:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,588.88,19,22965.36,645
1,56,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Employed Full-Time,Two Parent Household,40213,1439545,2021/12/07 10:21:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,122.95,2,9528,646
0,47,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40213,1439545,2021/12/07 10:21:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,122.95,2,9528,647
0,11,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40213,1439545,2021/12/07 10:21:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,122.95,2,9528,648
0,10,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40213,1439545,2021/12/07 10:21:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,122.95,2,9528,649
0,13,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40213,1439545,2021/12/07 10:21:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,122.95,2,9528,650
0,8,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40213,1439545,2021/12/07 10:21:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,122.95,2,9528,651
1,35,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Multigenerational Household,40258,1469262,2022/01/04 13:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,862.88,12,34000.32,652
0,4,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Multigenerational Household,40258,1469262,2022/01/04 13:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,862.88,12,34000.32,653
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40258,1469262,2022/01/04 13:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,862.88,12,34000.32,654
0,10,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40258,1469262,2022/01/04 13:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,862.88,12,34000.32,655
